iter	MultiClass
0	1.925422292
1	1.805107613
2	1.695174511
3	1.588055662
4	1.524703116
5	1.445427534
6	1.37983249
7	1.31521223
8	1.255245929
9	1.2010215
10	1.153713153
11	1.102843385
12	1.065335243
13	1.024053338
14	0.9840647401
15	0.9489379907
16	0.9154079801
17	0.8834047793
18	0.8532540364
19	0.8244390677
20	0.7957337163
21	0.7663816302
22	0.7417653896
23	0.7183956026
24	0.6910152448
25	0.6705900018
26	0.6431379737
27	0.6229345865
28	0.6053432959
29	0.5886996609
30	0.5687238891
31	0.544355749
32	0.5290258632
33	0.5134101027
34	0.5019088886
35	0.4856944664
36	0.4674600247
37	0.4562529592
38	0.4442575185
39	0.4302494098
40	0.4200732407
41	0.4081326215
42	0.3969249438
43	0.3877899944
44	0.3773835527
45	0.3700232647
46	0.3590407224
47	0.3486343644
48	0.339547354
49	0.3295611869
50	0.3209999604
51	0.31530275
52	0.307501757
53	0.3022860723
54	0.2955158717
55	0.2878701611
56	0.2835698333
57	0.2766270656
58	0.2723501409
59	0.2672161881
60	0.2602131333
61	0.2571741981
62	0.2527321249
63	0.2471305553
64	0.2422998306
65	0.2376407753
66	0.2310949049
67	0.2289337799
68	0.2252309887
69	0.2194075679
70	0.2154031347
71	0.2111139745
72	0.2068344147
73	0.2028663594
74	0.2001634364
75	0.1980762722
76	0.1952010586
77	0.1919980186
78	0.1884422533
79	0.1866651079
80	0.1840777886
81	0.1811732468
82	0.1778194612
83	0.1756158833
84	0.1729551661
85	0.1717268497
86	0.168752484
87	0.1670814538
88	0.163595311
89	0.1619860794
90	0.15977305
91	0.1574379821
92	0.1554836662
93	0.154168354
94	0.1520660218
95	0.1502842013
96	0.1472958682
97	0.1454334995
98	0.1440756419
99	0.1417991658
100	0.1391882167
101	0.1369083174
102	0.1359551974
103	0.134499086
104	0.1336245393
105	0.1318447053
106	0.1292658198
107	0.1282471442
108	0.1262624215
109	0.1250710387
110	0.1240288338
111	0.1227102296
112	0.1219792049
113	0.1203006899
114	0.1193970859
115	0.1185859965
116	0.1171017479
117	0.1156528568
118	0.113926234
119	0.1127839359
120	0.1113065924
121	0.1097774809
122	0.1081001843
123	0.1071742195
124	0.1056423442
125	0.1044891938
126	0.1039670107
127	0.1027487845
128	0.1021661964
129	0.1013410623
130	0.1005963036
131	0.09934170504
132	0.09846569464
133	0.09772356936
134	0.09675159795
135	0.09639278693
136	0.09576798008
137	0.09495104852
138	0.09415250118
139	0.09326040761
140	0.09292230068
141	0.09176292957
142	0.09077727376
143	0.09012302541
144	0.0892233059
145	0.08846357074
146	0.08732035838
147	0.08693389681
148	0.08600525452
149	0.08532784464
150	0.08473534256
151	0.08423570026
152	0.08381664864
153	0.08295695766
154	0.08213461705
155	0.08113228259
156	0.08074583713
157	0.07967737757
158	0.07872388985
159	0.0784179932
160	0.0774760232
161	0.07690899556
162	0.07646135782
163	0.07603229841
164	0.07561315315
165	0.07534182714
166	0.07459561034
167	0.07415423575
168	0.07381617158
169	0.07317002032
170	0.07254364104
171	0.07212128402
172	0.07172330993
173	0.07136727764
174	0.0708203959
175	0.07016905374
176	0.06947951595
177	0.0692406714
178	0.06858062583
179	0.06790249773
180	0.06763075984
181	0.06705918867
182	0.06642402428
183	0.06595793233
184	0.06542312493
185	0.06523305788
186	0.06467852112
187	0.0640439986
188	0.06349706667
189	0.06288156506
190	0.06271188936
191	0.06241763856
192	0.06199380798
193	0.06164878316
194	0.0611142335
195	0.06076966507
196	0.06045706783
197	0.06000520341
198	0.05957612676
199	0.05911852074
200	0.05888568735
201	0.05860721997
202	0.05799896919
203	0.05775636284
204	0.05751207275
205	0.05700885791
206	0.05658799278
207	0.05615871023
208	0.05572954119
209	0.05528208637
210	0.05475256052
211	0.05439075587
212	0.05392512346
213	0.05352272798
214	0.05336936976
215	0.05295134077
216	0.05274181486
217	0.05247437372
218	0.05209802001
219	0.05162176899
220	0.05122837723
221	0.05086875127
222	0.05063808282
223	0.05032019869
224	0.05017552904
225	0.04995931133
226	0.04962276777
227	0.04936070304
228	0.0490140181
229	0.04864174795
230	0.04829183477
231	0.04791738875
232	0.04764001975
233	0.04734134888
234	0.04724645065
235	0.04711195988
236	0.04690394217
237	0.04661332666
238	0.04628933259
239	0.04599054822
240	0.04568096833
241	0.04536524506
242	0.04510787527
243	0.04479143282
244	0.04470297352
245	0.04445487148
246	0.0441727027
247	0.0440445879
248	0.04382543489
249	0.04362577991
